experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
81,25,0.600,1.6,2.50,50,72,25,800,0.00000000,1.00000000,0.24077689,1.00000000,3707,0.833026,0.166974,61.79
82,25,0.600,1.6,3.00,20,72,25,800,0.00000000,1.00000000,0.30304209,1.00000000,1591,0.928337,0.071663,62.45
83,25,0.600,1.6,3.00,30,72,25,800,0.00000000,1.00000000,0.23253033,1.00000000,2419,0.891041,0.108959,61.12
84,25,0.600,1.6,3.00,50,72,25,800,0.00000000,1.00000000,0.20897829,1.00000000,3717,0.832575,0.167425,61.23
85,25,0.600,1.6,4.00,20,72,25,800,0.00000000,1.00000000,0.37267790,1.00000000,1591,0.928337,0.071663,61.86
86,25,0.600,1.6,4.00,30,72,25,800,0.00000000,1.00000000,0.30799545,1.00000000,2415,0.891221,0.108779,60.65
87,25,0.600,1.6,4.00,50,72,25,800,0.00000000,1.00000000,0.28726628,1.00000000,3705,0.833116,0.166884,61.18
88,25,0.600,1.6,5.00,20,72,25,800,0.00000000,1.00000000,0.28857351,1.00000000,1591,0.928337,0.071663,61.68
89,25,0.600,1.6,5.00,30,72,25,800,0.00000000,1.00000000,0.24014888,1.00000000,2417,0.891131,0.108869,60.97
90,25,0.600,1.6,5.00,50,72,25,800,0.00000000,1.00000000,0.23011974,1.00000000,3705,0.833116,0.166884,62.04
91,25,0.600,2.0,1.50,20,72,25,800,0.00000000,1.00000000,0.35100097,1.00000000,1595,0.928156,0.071844,61.75
92,25,0.600,2.0,1.50,30,72,25,800,0.00000000,1.00000000,0.32799325,1.00000000,2387,0.892482,0.107518,62.37
93,25,0.600,2.0,1.50,50,72,25,800,0.00000000,1.00000000,0.27483734,1.00000000,3669,0.834737,0.165263,61.58
94,25,0.600,2.0,2.00,20,72,25,800,0.00000000,1.00000000,0.29913046,1.00000000,1591,0.928337,0.071663,60.84
95,25,0.600,2.0,2.00,30,72,25,800,0.00000000,1.00000000,0.29457309,1.00000000,2419,0.891041,0.108959,62.16
