experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
136,25,0.600,3.0,3.00,20,72,25,800,0.00000000,1.00000000,0.30113596,1.00000000,3228,0.963650,0.036350,65.03
137,25,0.600,3.0,3.00,30,72,25,800,0.00000000,1.00000000,0.29508295,1.00000000,4950,0.944259,0.055741,65.00
138,25,0.600,3.0,3.00,50,72,25,800,0.00000000,1.00000000,0.25920377,1.00000000,7734,0.912909,0.087091,65.09
139,25,0.600,3.0,4.00,20,72,25,800,0.00000000,1.00000000,0.37951481,1.00000000,3228,0.963650,0.036350,65.00
140,25,0.600,3.0,4.00,30,72,25,800,0.00000000,1.00000000,0.29080979,1.00000000,4948,0.944282,0.055718,65.10
141,25,0.600,3.0,4.00,50,72,25,800,0.00000000,1.00000000,0.30056834,1.00000000,7726,0.912999,0.087001,65.83
142,25,0.600,3.0,5.00,20,72,25,800,0.00000000,1.00000000,0.33288333,1.00000000,3234,0.963583,0.036417,65.02
143,25,0.600,3.0,5.00,30,72,25,800,0.00000000,1.00000000,0.31964789,1.00000000,4950,0.944259,0.055741,65.12
144,25,0.600,3.0,5.00,50,72,25,800,0.00000000,1.00000000,0.31241121,1.00000000,7724,0.913022,0.086978,65.04
145,25,0.700,1.6,1.50,20,53,25,800,0.00000000,1.00000000,0.27129092,1.00000000,2370,0.951033,0.048967,49.34
146,25,0.700,1.6,1.50,30,53,25,800,0.00000000,1.00000000,0.26585552,1.00000000,3580,0.926033,0.073967,48.84
147,25,0.700,1.6,1.50,50,53,25,800,0.00000000,1.00000000,0.24066619,1.00000000,5592,0.884463,0.115537,48.87
148,25,0.700,1.6,2.00,20,53,25,800,0.00000000,1.00000000,0.26811934,1.00000000,2378,0.950868,0.049132,48.80
149,25,0.700,1.6,2.00,30,53,25,800,0.00000000,1.00000000,0.25051389,1.00000000,3622,0.925165,0.074835,48.87
150,25,0.700,1.6,2.00,50,53,25,800,0.00000000,1.00000000,0.21734350,1.00000000,5640,0.883471,0.116529,48.86
151,25,0.700,1.6,2.50,20,53,25,800,0.00000000,1.00000000,0.22139015,1.00000000,2374,0.950950,0.049050,48.80
152,25,0.700,1.6,2.50,30,53,25,800,0.00000000,1.00000000,0.35916154,1.00000000,3624,0.925124,0.074876,48.87
153,25,0.700,1.6,2.50,50,53,25,800,0.00000000,1.00000000,0.21080001,1.00000000,5618,0.883926,0.116074,51.76
154,25,0.700,1.6,3.00,20,53,25,800,0.00000000,1.00000000,0.25578903,1.00000000,2378,0.950868,0.049132,48.80
155,25,0.700,1.6,3.00,30,53,25,800,0.00000000,1.00000000,0.21837638,1.00000000,3624,0.925124,0.074876,50.03
156,25,0.700,1.6,3.00,50,53,25,800,0.00000000,1.00000000,0.20102609,1.00000000,5624,0.883802,0.116198,49.60
157,25,0.700,1.6,4.00,20,53,25,800,0.00000000,1.00000000,0.29640873,1.00000000,2376,0.950909,0.049091,49.03
158,25,0.700,1.6,4.00,30,53,25,800,0.00000000,1.00000000,0.36769703,1.00000000,3630,0.925000,0.075000,48.89
159,25,0.700,1.6,4.00,50,53,25,800,0.00000000,1.00000000,0.24723973,1.00000000,5640,0.883471,0.116529,49.46
160,25,0.700,1.6,5.00,20,53,25,800,0.00000000,1.00000000,0.33371797,1.00000000,2372,0.950992,0.049008,49.56
161,25,0.700,1.6,5.00,30,53,25,800,0.00000000,1.00000000,0.32448341,1.00000000,3630,0.925000,0.075000,49.01
162,25,0.700,1.6,5.00,50,53,25,800,0.00000000,1.00000000,0.29785911,1.00000000,5632,0.883636,0.116364,48.92
163,25,0.700,2.0,1.50,20,53,25,800,0.00000000,1.00000000,0.34220046,1.00000000,2374,0.950950,0.049050,48.81
164,25,0.700,2.0,1.50,30,53,25,800,0.00000000,1.00000000,0.30610403,1.00000000,3592,0.925785,0.074215,48.87
165,25,0.700,2.0,1.50,50,53,25,800,0.00000000,1.00000000,0.15810708,1.00000000,5594,0.884421,0.115579,49.34
166,25,0.700,2.0,2.00,20,53,25,800,0.00000000,1.00000000,0.31058688,1.00000000,2376,0.950909,0.049091,48.91
167,25,0.700,2.0,2.00,30,53,25,800,0.00000000,1.00000000,0.28510047,1.00000000,3620,0.925207,0.074793,48.85
168,25,0.700,2.0,2.00,50,53,25,800,0.00000000,1.00000000,0.23136415,1.00000000,5626,0.883760,0.116240,48.84
169,25,0.700,2.0,2.50,20,53,25,800,0.00000000,1.00000000,0.26410693,1.00000000,2378,0.950868,0.049132,51.54
170,25,0.700,2.0,2.50,30,53,25,800,0.00000000,1.00000000,0.29132740,1.00000000,3622,0.925165,0.074835,48.87
171,25,0.700,2.0,2.50,50,53,25,800,0.00000000,1.00000000,0.30391696,1.00000000,5618,0.883926,0.116074,50.53
172,25,0.700,2.0,3.00,20,53,25,800,0.00000000,1.00000000,0.19405652,1.00000000,2370,0.951033,0.048967,48.96
173,25,0.700,2.0,3.00,30,53,25,800,0.00000000,1.00000000,0.21036461,1.00000000,3624,0.925124,0.074876,50.40
174,25,0.700,2.0,3.00,50,53,25,800,0.00000000,1.00000000,0.25124433,1.00000000,5626,0.883760,0.116240,49.44
175,25,0.700,2.0,4.00,20,53,25,800,0.00000000,1.00000000,0.25477278,1.00000000,2374,0.950950,0.049050,49.88
176,25,0.700,2.0,4.00,30,53,25,800,0.00000000,1.00000000,0.29959206,1.00000000,3628,0.925041,0.074959,50.38
177,25,0.700,2.0,4.00,50,53,25,800,0.00000000,1.00000000,0.22795477,1.00000000,5620,0.883884,0.116116,51.82
178,25,0.700,2.0,5.00,20,53,25,800,0.00000000,1.00000000,0.32989241,1.00000000,2370,0.951033,0.048967,49.54
179,25,0.700,2.0,5.00,30,53,25,800,0.00000000,1.00000000,0.28428157,1.00000000,3624,0.925124,0.074876,50.69
180,25,0.700,2.0,5.00,50,53,25,800,0.00000000,1.00000000,0.31879944,1.00000000,5638,0.883512,0.116488,50.35
181,25,0.700,2.5,1.50,20,53,25,800,0.00000000,1.00000000,0.31426503,1.00000000,2370,0.951033,0.048967,51.87
182,25,0.700,2.5,1.50,30,53,25,800,0.00000000,1.00000000,0.29889619,1.00000000,3588,0.925868,0.074132,55.29
183,25,0.700,2.5,1.50,50,53,25,800,0.00000000,1.00000000,0.24250641,1.00000000,5572,0.884876,0.115124,49.61
184,25,0.700,2.5,2.00,20,53,25,800,0.00000000,1.00000000,0.26788034,1.00000000,2376,0.950909,0.049091,50.01
185,25,0.700,2.5,2.00,30,53,25,800,0.00000000,1.00000000,0.27275474,1.00000000,3626,0.925083,0.074917,49.17
186,25,0.700,2.5,2.00,50,53,25,800,0.00000000,1.00000000,0.35025470,1.00000000,5624,0.883802,0.116198,48.91
187,25,0.700,2.5,2.50,20,53,25,800,0.00000000,1.00000000,0.28814498,1.00000000,2374,0.950950,0.049050,48.84
188,25,0.700,2.5,2.50,30,53,25,800,0.00000000,1.00000000,0.27859538,1.00000000,3626,0.925083,0.074917,49.34
189,25,0.700,2.5,2.50,50,53,25,800,0.00000000,1.00000000,0.34936388,1.00000000,5622,0.883843,0.116157,51.61
190,25,0.700,2.5,3.00,20,53,25,800,0.00000000,1.00000000,0.25709310,1.00000000,2372,0.950992,0.049008,48.91
191,25,0.700,2.5,3.00,30,53,25,800,0.00000000,1.00000000,0.19242641,1.00000000,3618,0.925248,0.074752,48.88
192,25,0.700,2.5,3.00,50,53,25,800,0.00000000,1.00000000,0.33208020,1.00000000,5640,0.883471,0.116529,48.86
